ID,Material,Vision Description Target,Project Idea,Difficulty,Time to Complete,Instructions
14,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Minimalist Vertical Succulent Garden (Var.246),Advanced,135 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable canvas tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Pothos tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
15,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Minimalist Decorative Pencil Holder (Var.537),Easy,11 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of canvas to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
16,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Rustic Vertical Succulent Garden (Var.334),Advanced,119 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable lace tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Pothos tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
17,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Eco-friendly Biodegradable Seed Starters (Var.801),Easy,7 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Fern seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
18,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Upcycled Iridescent Mosaic Coasters (Var.510),Intermediate,63 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with metallic gold paint filler and wipe the surface clean. Let it cure."
19,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Handcrafted Pencil Shaving Texture Art (Var.977),Easy,19 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a butterfly.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
20,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Modern Desktop Terrarium (Var.383),Intermediate,58 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of terracotta shards for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Cilantro.
6. Mist lightly with a spray bottle and seal the jar tightly."
21,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Modern No-Sew Produce Bag (Var.328),Intermediate,44 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a highly expanding mesh."
22,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Eco-friendly Vertical Succulent Garden (Var.718),Advanced,135 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable burlap tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Cilantro tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
23,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Chic Pencil Shaving Texture Art (Var.721),Easy,30 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a butterfly.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
24,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Chic Exfoliating Body Scrub (Var.611),Easy,11 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted shea butter.
3. Add 1/4 cup of coarse brown sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
25,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Upcycled No-Sew Produce Bag (Var.288),Intermediate,37 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a durable mesh."
26,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Eco-friendly Iridescent Mosaic Coasters (Var.684),Intermediate,50 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with black grout and wipe the surface clean. Let it cure."
27,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Dynamic Desktop Terrarium (Var.591),Intermediate,55 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of glass marbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Basil.
6. Mist lightly with a spray bottle and seal the jar tightly."
28,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Dynamic Pencil Shaving Texture Art (Var.612),Easy,14 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a butterfly.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
29,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Chic Pocket Wall Organizer (Var.720),Intermediate,57 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid sturdy twig through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or cables and chargers."
30,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Aesthetic Self-Watering Planter (Var.610),Easy,21 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Pothos.
5. Fill the bottom half with water. The string will pull water up to the soil!"
31,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Boho Cat Scratching Pad (Var.945),Intermediate,65 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with dried organic organic catnip!"
32,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Aesthetic Pencil Shaving Texture Art (Var.368),Easy,19 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a vibrant sunflower.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
33,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Eco-friendly Exfoliating Body Scrub (Var.358),Easy,7 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted olive oil.
3. Add 1/4 cup of coarse brown sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
34,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Modern Braided Dog Tug Toy (Var.477),Easy,30 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your medium dog."
35,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Modern Pocket Wall Organizer (Var.540),Intermediate,57 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid bamboo skewer through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or cables and chargers."
36,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Dynamic Self-Watering Planter (Var.636),Easy,23 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Basil.
5. Fill the bottom half with water. The string will pull water up to the soil!"
37,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Minimalist Braided Dog Tug Toy (Var.110),Easy,11 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your small dog."
38,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Boho Pencil Shaving Texture Art (Var.260),Easy,29 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a abstract wave.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
39,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Premium Pencil Shaving Texture Art (Var.840),Easy,25 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a mandala pattern.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
40,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Eco-friendly Custom Drawer Organizers (Var.561),Easy,37 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize keys and wallets."
41,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Chic Decorative Pencil Holder (Var.637),Easy,12 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of lace to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
42,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Premium Rustic Tealight Holder (Var.330),Easy,7 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap baker's twine tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried rose petals to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
43,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Bespoke Cat Scratching Pad (Var.110),Intermediate,59 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with valerian root!"
44,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Bespoke Vertical Succulent Garden (Var.597),Advanced,118 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable burlap tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Spider Plant tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
45,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Modern Iridescent Mosaic Coasters (Var.274),Intermediate,54 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with black grout and wipe the surface clean. Let it cure."
46,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Eco-friendly Custom Drawer Organizers (Var.715),Easy,35 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize jewelry."
47,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Upcycled Paper Mache Decorative Bowl (Var.710),Intermediate,71 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it crimson red."
48,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Premium Geometric Cork Board (Var.436),Intermediate,43 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish concentric squares pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
49,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Dynamic No-Sew Produce Bag (Var.995),Intermediate,36 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a breathable mesh."
50,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Modern Pencil Shaving Texture Art (Var.489),Easy,16 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a owl in flight.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
51,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Modern Paper Mache Decorative Bowl (Var.614),Intermediate,57 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it vibrant yellow."
52,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Handcrafted Pencil Shaving Texture Art (Var.212),Easy,30 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a mandala pattern.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
53,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Dynamic Braided Dog Tug Toy (Var.689),Easy,12 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your giant dog."
54,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Dynamic Vertical Succulent Garden (Var.200),Advanced,117 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable burlap tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Rosemary tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
55,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Minimalist Biodegradable Seed Starters (Var.901),Easy,24 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Succulent seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
56,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Eco-friendly Biodegradable Seed Starters (Var.596),Easy,17 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Tomato seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
57,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Aesthetic Desktop Terrarium (Var.232),Intermediate,50 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of aquarium stones for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Basil.
6. Mist lightly with a spray bottle and seal the jar tightly."
